Timestamp,Amplitude
20241206_145206,898
291755,952
291759,738
1,908
2,835
4,743
5,736
6,733
8,732
10,742
13,821
15,757
18,862
20,835
23,735
25,733
28,738
30,744
33,855
35,908
38,967
40,915
44,743
46,5
49,738
51,745
54,858
56,936
58,965
61,920
63,748
66,736
68,738
71,753
73,860
76,915
78,931
81,5
83,731
87,731
89,736
92,801
94,837
97,908
99,947
102,846
105,736
107,733
110,742
113,859
116,774
118,910
121,854
124,735
126,731
130,744
133,870
136,965
138,957
141,907
144,733
147,730
149,5
152,814
155,849
157,952
160,904
163,739
166,734
168,736
172,815
175,875
178,962
180,949
183,735
186,736
189,739
191,820
194,894
197,963
200,956
202,807
205,737
208,736
210,744
214,825
217,5
220,752
222,726
225,732
228,733
230,740
233,833
236,913
239,961
241,867
244,740
247,735
250,5
252,855
256,922
259,966
261,920
264,741
267,734
270,746
272,867
275,928
278,959
281,879
283,732
286,733
289,735
292,816
294,872
297,960
301,907
304,737
306,734
309,740
312,818
315,879
317,5
320,773
323,735
325,736
328,739
331,761
334,886
336,965
339,959
343,804
345,736
348,731
351,738
354,5
356,817
359,863
362,772
364,736
367,729
370,743
373,861
375,923
378,960
381,878
385,737
387,736
390,766
393,870
396,942
398,965
401,920
404,745
407,732
409,744
412,847
415,900
418,952
420,5
423,734
427,732
429,738
432,815
435,868
438,955
440,921
443,737
446,741
448,735
451,820
454,5
457,872
459,902
462,746
465,738
467,734
471,756
474,891
477,965
479,959
482,789
485,734
488,737
490,731
493,824
496,891
499,942
501,831
504,733
507,731
510,746
513,869
516,940
519,952
522,4
524,735
527,736
530,747
532,864
535,938
538,962
541,935
543,748
546,732
549,739
552,822
555,848
558,5
561,744
563,733
566,733
569,737
572,816
574,860
577,967
580,943
582,748
585,736
588,736
591,799
593,866
596,959
600,962
603,794
605,737
608,739
611,763
614,904
616,969
619,959
622,752
625,733
627,737
630,739
633,836
636,916
638,950
642,839
645,734
647,736
650,743
653,863
656,943
658,5
661,753
664,732
666,733
669,743
672,864
675,943
677,966
680,934
684,738
687,732
689,735
692,813
695,735
698,865
700,821
703,733
706,732
709,737
711,835
714,885
717,962
720,939
722,743
726,735
729,740
731,819
734,891
737,971
740,957
742,784
745,735
748,739
751,764
753,882
756,957
759,934
762,4
764,733
768,732
771,739
773,838
776,915
779,954
782,851
784,734
787,738
790,747
793,868
795,806
798,925
801,856
804,739
806,735
809,751
813,882
816,958
818,963
821,906
824,734
826,731
829,5
832,804
835,839
837,939
840,882
843,735
845,734
848,733
851,830
855,884
857,968
860,945
863,5
865,733
868,737
871,819
874,889
876,965
879,961
882,804
885,740
887,737
890,744
893,840
897,902
899,5
902,725
905,735
907,732
910,741
913,838
916,906
918,959
921,865
924,735
927,734
929,744
932,759
935,858
939,963
941,899
944,736
947,733
949,748
952,877
955,959
958,963
960,897
963,732
966,732
969,735
971,812
974,872
977,956
980,907
983,736
986,734
989,738
992,832
994,888
997,969
1000,4
1003,737
1006,733
1009,746
1012,856
1015,942
1018,958
1021,932
1025,751
1028,733
1031,736
1034,828
1036,757
1039,796
1042,730
1045,731
1048,736
1051,823
1054,894
1057,963
1060,893
1063,735
1067,735
1070,742
1073,879
1076,966
1079,959
1082,788
1085,733
1088,747
1091,854
