Timestamp,Amplitude
0,782
1,784
1,786
2,786
2,786
2,786
3,785
3,784
4,783
4,783
5,779
5,772
5,765
6,761
6,758
7,755
7,754
8,756
9,761
10,765
10,767
11,775
12,786
13,800
14,815
14,827
15,831
16,835
17,838
18,840
19,842
19,841
20,841
21,840
22,837
23,833
24,829
24,817
25,802
26,784
27,771
28,767
29,767
29,769
30,773
31,782
32,795
33,811
34,824
34,832
35,836
36,840
37,843
38,845
39,845
39,845
40,843
41,841
43,838
44,834
45,829
45,811
46,796
47,780
48,770
49,767
50,769
50,771
51,778
52,789
53,803
54,819
54,831
55,835
56,839
57,842
58,844
59,846
59,845
60,845
61,843
62,839
63,836
64,832
64,821
65,803
66,787
67,775
68,769
69,768
69,771
70,773
71,784
72,796
73,811
74,825
74,832
75,836
76,839
77,843
78,844
79,845
79,845
80,844
81,841
82,838
83,834
84,828
84,811
86,795
87,780
88,770
89,768
90,769
90,770
91,778
92,789
93,802
94,819
95,831
95,834
96,838
97,841
98,843
99,844
99,845
100,844
101,841
102,838
103,834
104,829
105,811
106,793
107,776
108,768
109,767
109,769
110,773
111,785
112,799
113,816
114,830
115,834
116,839
117,843
118,845
119,845
119,844
120,843
121,840
122,836
123,831
124,817
125,799
126,783
128,770
129,767
130,768
131,770
131,781
132,794
133,811
134,826
135,834
136,838
137,842
138,844
139,844
140,844
141,843
141,841
142,836
143,832
144,823
145,806
146,787
147,771
148,767
149,767
150,769
151,777
152,788
152,804
153,821
154,833
155,838
156,843
157,847
158,849
159,851
160,850
161,848
162,845
163,841
163,836
164,819
165,801
166,783
167,770
168,768
169,767
171,771
172,782
173,796
174,813
174,828
175,834
176,840
177,844
178,846
179,847
180,849
181,847
182,844
183,840
184,836
185,824
185,806
186,788
187,772
188,768
189,767
190,769
191,776
192,790
193,806
194,822
195,831
195,836
196,842
197,843
198,845
199,846
200,847
201,844
202,839
203,835
204,829
205,810
206,793
206,775
207,766
208,766
209,766
210,773
211,785
212,799
214,817
215,830
216,834
217,839
217,843
218,845
219,846
220,847
221,845
222,842
223,839
224,834
225,818
226,799
227,781
228,768
228,766
229,767
230,770
231,780
232,794
233,811
234,826
235,833
236,839
237,843
238,847
238,847
239,848
240,847
241,845
242,841
243,837
244,827
245,809
246,790
247,775
248,768
249,767
249,768
250,777
251,789
252,806
253,822
254,832
256,838
257,843
258,848
259,849
260,850
260,850
261,849
262,845
263,841
264,836
265,817
266,799
267,781
268,770
269,769
270,769
271,774
271,785
272,800
273,818
274,832
275,838
276,844
277,847
278,849
279,850
280,852
281,850
281,848
282,845
283,840
284,826
285,806
286,789
287,774
288,770
289,769
290,772
291,782
292,795
292,812
293,828
294,836
295,842
296,847
297,850
299,852
300,852
301,853
302,850
303,847
303,843
304,833
305,815
306,797
307,780
308,772
309,770
310,771
311,777
312,790
313,806
314,823
314,834
315,840
316,845
317,850
318,853
319,853
320,853
321,852
322,848
323,844
324,840
324,822
325,805
326,786
327,774
328,770
