Timestamp,Amplitude
20241206_144542,684
111331,672
111334,699
111327,684
111331,672
111334,699
111327,684
111331,672
111334,699
1,691
2,689
3,702
5,719
6,684
7,698
9,705
12,696
14,694
17,688
19,691
22,685
24,685
27,704
29,715
32,699
34,679
37,703
39,709
43,680
45,675
48,698
50,701
53,687
55,697
58,675
60,679
63,690
65,699
68,705
70,661
73,662
75,693
77,692
80,686
82,667
86,675
88,697
91,699
93,684
96,673
98,705
101,680
104,703
106,702
109,682
112,669
115,697
117,682
120,689
123,677
125,678
129,688
132,700
135,687
137,669
140,694
143,679
146,684
148,669
151,681
154,691
157,685
159,680
162,667
165,677
168,711
171,696
174,677
177,677
179,700
182,684
185,670
188,680
190,680
193,696
196,695
199,677
201,699
204,705
207,688
209,673
212,664
216,676
219,658
221,695
224,694
227,703
229,680
232,663
235,679
238,694
240,675
243,685
246,676
249,694
251,691
254,672
258,687
261,678
263,688
266,698
269,700
272,668
274,713
277,696
280,683
283,676
285,684
288,697
291,668
293,669
296,679
300,690
303,678
305,671
308,670
311,677
314,686
316,687
319,694
322,679
324,687
327,660
330,686
333,695
335,666
338,679
342,688
345,687
347,707
350,681
353,673
356,655
358,679
361,684
364,667
367,680
369,676
372,695
375,691
378,646
380,682
384,695
387,672
389,681
392,685
395,682
398,689
400,691
403,669
406,670
409,670
411,680
414,674
417,671
419,684
422,654
425,684
429,685
431,679
434,667
437,675
440,683
442,684
445,679
448,644
451,673
453,683
456,681
459,667
462,676
464,691
467,681
471,678
473,667
476,666
479,695
482,688
484,679
487,657
490,687
493,682
495,688
498,666
501,657
504,700
506,693
509,666
513,664
516,699
518,686
521,687
524,671
527,685
529,682
532,684
535,681
537,669
540,689
543,686
546,668
548,679
551,675
555,673
557,680
560,686
563,687
566,693
568,663
571,674
574,704
577,691
579,675
582,683
585,685
588,704
590,669
593,687
596,675
600,696
602,671
605,685
608,678
611,700
613,687
616,662
619,657
621,684
624,704
627,681
630,684
632,668
635,685
638,710
642,686
644,683
647,686
650,705
653,688
655,666
658,688
661,676
664,688
666,687
669,671
672,684
675,702
677,677
680,688
684,685
686,693
689,710
692,700
695,688
697,696
700,696
703,676
706,691
708,707
711,702
714,677
716,685
719,693
722,703
726,679
728,665
731,686
734,669
737,691
739,684
742,683
745,686
748,670
750,697
753,699
756,666
759,681
761,691
764,704
768,672
771,673
773,689
776,708
779,662
781,663
784,670
787,693
790,693
792,669
795,703
798,702
800,661
803,695
806,691
809,671
812,689
815,676
818,681
821,680
823,692
826,676
829,668
831,685
834,698
837,652
840,670
842,698
845,681
848,658
851,690
854,683
857,685
860,680
863,690
865,693
868,677
871,685
874,674
876,675
879,684
882,678
884,693
887,676
890,680
893,706
896,689
899,686
902,685
904,680
907,674
910,661
913,677
915,687
918,709
921,684
924,657
926,680
929,687
932,666
934,693
937,685
941,682
944,693
946,686
949,679
952,687
955,689
957,694
960,679
963,684
966,684
968,665
971,666
974,687
977,671
979,686
983,663
986,670
989,693
991,702
994,680
997,663
999,678
1002,677
1005,685
1008,684
1011,701
1014,678
1017,678
1020,677
1024,677
1027,690
1030,687
1033,683
1036,679
1039,683
1042,702
1045,668
1048,673
1051,710
1054,677
1057,679
1060,708
1063,679
1067,683
1070,692
1073,703
1076,678
1079,689
1082,688
1085,682
1088,694
1091,680
1094,691
1097,699
1100,686
1103,657
1106,689
1110,682
1113,670
1116,680
1119,717
1122,670
1125,680
1128,700
1131,695
1134,681
1137,688
1140,711
1143,664
1146,682
1149,693
1153,685
1156,687
1159,683
1162,684
1165,666
1168,713
1171,690
1174,680
1177,701
1180,670
1183,687
1185,688
1188,675
1191,687
1195,706
1198,683
1201,665
1204,699
1207,679
1210,684
1213,692
1216,695
1219,680
1222,689
1225,675
1228,660
1231,698
1234,686
1238,673
1241,674
1244,664
1247,696
1250,669
1253,689
1256,707
1259,686
1262,689
1265,699
1268,688
1271,657
1274,701
1277,695
1281,675
1284,688
1287,694
1290,691
1293,687
1296,693
1299,678
1302,694
1305,700
1308,689
1311,702
1314,683
1317,674
1320,705
1324,683
1327,669
1330,695
1333,688
1336,679
1339,691
1342,684
1345,676
1348,681
1351,702
1354,687
1357,684
1359,690
1362,699
1366,676
1369,669
1372,688
1375,682
1378,665
1381,689
1384,698
1387,677
1390,662
1393,698
1396,677
1399,680
1402,694
1405,692
1409,675
1412,692
1415,697
1418,682
1421,676
1424,675
1427,683
1430,687
1433,677
1436,683
1439,672
1442,700
1445,683
1448,680
1452,690
1455,690
1458,667
1461,688
1464,683
1467,681
1470,677
1473,702
1476,659
1479,693
1482,696
1485,669
1488,672
1491,684
1495,693
1498,698
1501,689
1504,686
1507,667
1510,700
1513,648
1516,687
1519,677
1522,680
1525,685
1528,671
1531,663
1533,679
1537,693
1540,665
1543,695
1546,706
1549,675
1552,681
1555,684
1558,676
1561,675
1564,684
1567,684
1570,680
1573,674
1576,676
1580,690
1583,697
1586,657
1589,678
1592,684
1595,674
1598,675
1601,685
1604,668
1607,666
1610,686
1613,672
1616,683
1619,685
1623,688
1626,679
1629,670
1632,671
1635,683
1638,700
1641,655
1644,680
1647,674
1650,672
1653,671
1656,667
1659,664
1662,657
1666,680
1669,686
1672,669
1675,689
1678,681
1681,674
1684,672
1687,681
1690,688
1693,676
1696,687
1699,676
1702,674
1705,687
1709,668
1712,665
1715,688
1718,672
1721,681
1724,687
1727,673
1730,675
1733,689
1736,669
1739,679
1742,711
1745,675
1748,671
1751,692
1754,687
1757,674
1760,679
1763,685
1766,677
1769,667
1772,688
1775,670
1778,670
1781,679
1784,674
1787,662
1790,702
1794,654
1797,679
1800,706
1803,670
1806,693
1809,678
1812,657
1815,677
1818,700
1821,687
1824,696
1827,696
1830,676
1833,681
1837,716
1840,675
1843,687
1846,684
1849,657
1852,688
1855,697
1858,695
1861,676
1864,693
1867,691
1870,681
1873,679
1876,691
1880,681
1883,681
1886,704
1889,674
1892,699
1895,697
1898,692
1901,689
1904,679
1907,665
1910,687
1913,687
1916,697
1920,719
1923,702
1926,672
1928,691
1931,692
1934,667
1937,706
1940,679
1943,686
1946,691
1949,674
1952,681
1955,712
1958,696
1961,670
1965,690
1968,689
1971,694
1974,685
1977,678
1980,687
1983,715
1986,673
1989,689
1992,681
1995,690
1998,694
2001,699
2004,687
2008,699
2011,693
2014,673
2017,684
2020,690
2023,703
2026,679
2029,682
2032,697
2035,691
2038,694
2041,679
2044,691
2048,680
2051,703
2054,659
2057,691
2060,680
2063,686
2066,692
2069,696
2072,674
2075,705
2078,662
2081,685
2084,689
2087,698
2091,678
2094,703
2097,694
2100,668
2103,691
2106,680
2109,673
2112,700
2115,668
2118,692
2121,674
2124,672
2126,677
2129,671
2132,684
2136,686
2139,675
2142,691
2145,669
2148,679
2151,692
2154,696
2157,677
2160,695
2163,678
2166,675
2169,681
2172,693
2176,684
2179,676
2182,670
2185,674
2188,661
2191,672
2194,680
2197,690
2200,688
2203,698
2206,685
2209,649
2212,716
2215,677
2219,704
2222,687
2225,682
2228,656
2231,698
2234,677
2237,679
2240,685
2243,678
2246,690
2249,681
2252,679
2255,686
2258,668
2262,661
2265,688
2268,669
2271,684
2274,684
2277,677
2280,679
2283,694
2286,689
2289,675
2292,682
2295,707
2298,687
2301,670
2305,693
2308,683
2311,672
2314,684
2317,675
2319,654
2322,694
2325,671
2328,688
2331,693
2334,669
2337,682
2340,694
2343,678
2347,707
2350,684
2353,680
2356,696
2359,676
2362,681
2365,685
2368,686
2371,690
2374,671
2377,684
2380,683
2383,701
2386,689
2390,668
2393,671
2396,679
2399,677
2402,679
2405,685
2408,677
2411,699
2414,660
2417,666
2420,690
2423,666
2426,686
2429,696
2433,686
2436,680
2439,684
2442,685
2445,676
2448,675
2451,687
2454,682
2457,695
2460,694
2463,701
2466,684
2469,693
2472,684
2476,683
2479,679
2482,676
2485,681
2488,671
2491,699
2493,678
2496,664
2499,692
2502,692
2505,681
2508,695
2511,676
2514,683
2518,681
2521,690
2524,674
2527,673
2530,689
2533,679
2536,679
2539,683
2542,703
2545,661
2548,682
2551,701
2554,662
2557,699
2561,695
2564,676
2567,663
2570,699
2573,691
2576,677
2579,683
2582,676
2585,678
2588,681
2591,695
2594,689
2597,696
2600,678
2604,699
2607,666
2610,681
2613,701
2616,685
2619,683
2622,678
2625,656
2628,686
2631,688
2634,678
2637,703
2640,661
2643,680
2647,695
2650,680
2653,684
2656,677
2659,673
2662,690
2665,666
2668,672
2671,677
2674,671
2677,675
2680,686
2683,676
2686,682
2690,673
2693,670
2696,676
2699,668
2702,682
2705,681
2708,679
2710,670
2713,679
2716,680
2719,671
2722,677
2725,697
2728,686
2732,669
2735,678
2738,692
2741,666
2744,668
2747,670
2750,660
2753,686
2756,666
2759,676
2762,679
2765,685
2768,674
2771,680
2775,668
2778,683
2781,690
2784,672
2787,672
2790,692
2793,672
2796,698
2799,687
2802,686
2805,694
2808,696
2811,682
2814,675
2818,680
2821,665
2824,687
2827,656
2830,704
2833,692
2836,665
2839,694
2842,679
2845,665
2848,691
2851,688
2854,680
2857,668
2861,681
2864,699
2867,669
2870,686
2872,703
2875,664
2878,681
2881,677
2884,655
2887,684
2890,689
2893,677
2896,683
2899,665
2903,696
2906,698
2909,673
2912,690
2915,675
2918,677
2921,693
2924,666
2927,667
2930,662
2933,663
2936,676
2939,683
2942,679
2946,700
2949,675
2952,689
2955,673
2958,674
2961,690
2964,667
2967,688
2970,684
2973,666
2976,685
2979,670
2982,677
2985,689
2989,680
2992,675
2995,689
2998,685
3001,672
3004,672
3007,674
3010,672
3013,671
3016,677
3019,667
3022,689
3025,671
3028,664
3032,686
3035,664
3038,690
3041,690
3044,689
3047,680
3050,677
3053,677
3056,677
3058,670
3061,675
3064,698
3067,673
3070,693
3074,684
3077,690
3080,682
3083,692
3086,696
3089,679
3092,685
3095,687
3098,675
3101,675
3104,704
3107,692
3110,667
3113,692
3117,672
3120,683
3123,681
3126,681
3129,689
3132,686
3135,689
3138,681
3141,679
3144,707
3147,688
3150,685
3153,691
3156,662
3160,703
3163,684
3166,683
3169,704
3172,675
3175,704
3178,670
3181,683
3184,690
3187,678
3190,689
3193,679
3196,677
3200,682
3203,691
3206,687
3209,699
3212,681
3215,665
3218,662
3221,698
3224,668
3227,675
3230,674
3233,686
3236,691
3239,676
3243,669
3246,681
3249,687
3252,666
3255,681
3258,670
3261,695
3264,689
3267,689
3270,691
3273,687
3275,678
3278,685
3281,679
3284,679
3288,675
3291,693
3294,697
3297,699
3300,670
3303,696
3306,704
3309,676
3312,699
3315,671
3318,697
3321,708
3324,686
3328,689
3331,674
3334,688
3337,678
3340,702
3343,692
3346,693
3349,711
3352,683
3355,687
3358,682
3361,694
3364,691
3367,667
3371,699
3374,693
3377,693
