Timestamp,Amplitude
20241206_144713,683
90642,690
90645,698
90648,683
90642,690
90645,698
90648,683
90642,690
90645,698
90648,683
1,685
2,702
3,688
5,678
6,670
7,685
10,660
12,678
14,664
17,673
19,685
22,689
24,687
27,675
29,684
32,686
34,683
37,680
39,697
43,676
45,682
48,677
50,681
53,687
55,685
58,687
60,684
63,695
65,673
68,696
70,679
73,666
75,669
78,673
80,670
83,686
86,682
89,663
91,673
94,665
96,672
98,677
101,689
104,671
106,680
109,659
112,695
115,676
117,675
120,680
123,670
126,671
129,674
132,656
135,659
138,668
140,683
143,669
146,689
148,673
151,665
154,701
157,686
159,680
162,678
165,692
167,674
171,680
174,683
177,682
179,696
182,688
185,699
188,677
190,686
193,684
196,674
199,691
201,668
204,677
207,696
210,676
212,686
216,679
219,672
222,689
224,687
227,667
230,665
232,680
235,697
238,664
241,685
243,691
246,668
249,678
251,699
254,677
258,692
261,677
263,679
266,702
269,681
272,692
274,686
277,673
280,674
283,679
285,685
288,679
291,683
294,696
296,682
300,653
303,683
306,682
308,679
311,693
314,689
316,664
319,698
322,669
325,682
327,671
330,685
333,690
336,677
338,689
342,680
345,681
348,657
350,677
353,675
356,697
359,677
361,698
364,681
367,682
370,683
372,700
375,681
378,676
380,683
384,676
387,684
390,693
392,674
395,700
398,687
401,687
403,688
406,693
409,693
412,685
414,677
417,687
420,687
423,675
425,685
429,681
432,671
435,682
437,683
440,692
443,675
445,671
448,696
451,675
454,697
456,697
459,673
462,683
465,676
467,693
471,701
474,675
476,686
479,671
482,686
485,683
487,675
490,679
493,673
496,684
498,679
501,683
504,674
507,679
509,685
513,685
516,672
519,680
521,686
524,684
527,667
530,683
532,689
535,673
538,677
540,691
543,682
546,691
549,688
551,687
555,692
558,670
560,688
563,677
566,677
569,681
571,666
574,675
577,681
580,674
582,685
585,676
588,673
591,706
593,667
596,682
600,669
602,682
605,679
608,691
611,667
613,682
616,664
619,671
622,695
624,676
627,672
630,680
633,668
635,680
638,694
642,685
644,680
647,684
650,688
653,684
655,673
658,684
661,690
664,671
666,676
669,678
672,672
675,672
677,696
680,668
684,701
687,685
689,691
692,691
695,681
698,660
700,685
703,682
706,680
708,693
711,687
714,678
717,668
719,680
722,684
726,682
729,664
731,681
734,681
737,670
740,705
742,690
745,690
748,672
751,683
753,676
756,687
759,689
762,684
764,671
768,688
771,670
773,675
776,679
779,682
782,672
784,708
787,701
790,685
793,663
795,702
798,670
801,703
804,703
806,667
809,672
813,691
816,677
818,697
821,685
824,678
827,680
829,696
832,689
835,677
837,698
840,684
843,672
846,677
848,682
851,682
855,678
858,694
860,674
863,683
866,683
868,674
871,681
874,681
877,665
879,683
882,687
885,673
888,680
890,709
893,681
897,680
900,692
902,698
905,670
908,685
910,683
913,681
916,688
919,666
921,657
924,659
927,701
930,702
932,682
935,674
939,697
942,684
944,706
947,691
950,690
952,668
955,676
958,684
961,688
963,663
966,673
969,664
972,691
974,677
977,702
980,678
984,692
986,676
989,669
992,694
995,702
997,678
1000,683
1003,677
1006,691
1009,689
1012,674
1015,672
1018,689
1021,686
1025,706
1028,686
1031,652
1034,700
1037,721
1040,679
1043,681
1046,688
1049,687
1052,687
1055,675
1058,691
1061,682
1064,690
1068,691
1071,683
1074,677
1077,698
1080,686
1083,685
1086,675
1089,669
1092,686
1095,664
1098,681
1100,683
1103,713
1106,697
1110,681
1113,670
1116,700
1119,685
1122,681
1125,691
1128,687
1131,672
1134,675
1137,695
1140,690
1143,683
1146,698
1149,691
1153,685
1156,689
1159,702
1162,685
1165,684
1168,688
1171,677
1174,696
1177,684
1180,688
1183,671
1186,711
1189,682
1192,679
1196,661
1199,683
1202,682
1205,712
1208,686
1211,679
1214,688
1217,700
1220,690
1223,682
1226,686
1229,701
1232,695
1235,694
1239,687
1242,672
1245,676
1248,681
1251,700
1254,661
1257,674
1260,680
1263,687
1266,679
1269,685
1272,702
1275,659
1278,693
1282,700
1285,691
1288,687
1291,688
1294,687
1297,691
1300,674
1303,673
1306,691
1309,682
1312,684
1315,685
1317,696
1320,694
1324,702
1327,679
1330,682
1333,693
1336,682
1339,682
1342,694
1345,689
1348,678
1351,702
1354,710
1357,666
1360,673
1363,705
1367,694
1370,665
1373,682
1376,678
1379,690
1382,696
1385,688
1388,680
1391,690
1394,693
1397,669
1400,683
1403,684
1406,674
1410,696
1413,674
1416,670
1419,674
1422,695
1425,687
1428,697
1431,666
1434,673
1437,726
1440,683
1443,711
1446,690
1449,674
1453,694
1456,702
1459,696
1462,674
1465,713
1468,703
1471,699
1474,689
1477,696
1480,689
1483,697
1486,675
1489,687
1491,676
1495,682
1498,684
1501,678
1504,692
1507,679
1510,682
1513,680
1516,689
1519,695
1522,671
1525,690
1528,690
1531,665
1534,688
1538,698
1541,677
1544,689
1547,690
1550,674
1553,685
1556,706
1559,685
1562,676
1565,700
1568,674
1571,670
1574,671
1577,687
1581,671
1584,692
1587,685
1590,683
1593,671
1596,670
1599,681
1602,669
1605,692
1608,687
1611,691
1614,687
1617,666
1620,688
1624,668
1627,687
1630,695
1633,682
1636,676
1639,682
1642,693
1645,681
1648,680
1651,684
1654,671
1657,672
1660,669
1664,693
1667,665
1670,668
1673,720
1676,692
1679,685
1682,650
1685,673
1688,647
1691,681
1693,678
1696,705
1699,693
1702,697
1705,681
1709,682
1712,696
1715,695
1718,688
1721,684
1724,682
1727,684
1730,685
1733,677
1736,685
1739,695
1742,675
1745,682
1748,675
1752,686
1755,687
1758,683
1761,681
1764,681
1767,681
1770,682
1773,686
1776,678
1779,687
1782,676
1785,669
1788,687
1792,675
1795,682
1798,684
1801,658
1804,684
1807,698
1810,719
1813,675
1816,705
1819,684
1822,685
1825,669
1828,688
1831,675
1835,669
1838,678
1841,685
1844,685
1847,680
1850,680
1853,678
1856,690
1859,690
1862,681
1865,697
1868,689
1871,687
1874,683
1878,666
1881,696
1883,699
1886,684
1889,684
1892,684
1895,682
1898,680
1901,665
1904,713
1907,681
1910,680
1913,679
1916,660
1920,695
1923,670
1926,677
1929,673
1932,701
1935,683
1938,670
1941,685
1944,683
1947,681
1950,674
1953,688
1956,683
1959,687
1963,666
1966,680
1969,671
1972,675
1975,686
1978,669
1981,681
1984,683
1987,679
1990,683
1993,671
1996,684
1999,684
2002,679
2006,671
2009,671
2012,660
2015,696
2018,687
2021,670
2024,693
2027,688
2030,674
2033,685
2036,682
2039,681
2042,683
2045,683
2049,679
2052,676
2055,668
2057,677
2060,677
2063,676
2066,668
2069,684
2072,682
2075,683
2078,683
2081,678
2084,697
2087,689
2091,677
2094,679
2097,692
2100,680
2103,685
2106,693
2109,704
2112,674
2115,664
2118,676
2121,674
2124,680
2127,676
2130,695
2134,694
2137,688
2140,693
2143,689
2146,678
2149,688
2152,669
2155,677
2158,662
2161,695
2164,671
2167,683
2170,683
2173,692
2177,684
2180,682
2183,680
2186,680
2189,676
2192,683
2195,677
2198,679
2201,673
2204,673
2207,687
2210,693
2213,676
2216,700
2220,681
2223,679
2226,688
2229,672
2231,679
2234,693
2237,658
2240,695
2243,701
2246,686
2249,695
2252,687
2255,679
2258,691
2262,667
2265,687
2268,689
2271,692
2274,693
2277,675
2280,691
2283,684
2286,686
2289,694
2292,682
2295,678
2298,695
2301,689
2305,691
2308,675
2311,689
2314,691
2317,693
2320,671
2323,679
2326,659
2329,663
2332,694
2335,696
2338,658
2341,684
2344,680
2348,675
2351,690
2354,674
2357,683
2360,680
2363,684
2366,651
2369,665
2372,699
2375,689
2378,673
2381,684
2384,694
2387,673
2391,695
2394,669
2397,689
2400,689
2403,675
2405,686
2408,687
